name,sample,pages (count),components (count),allocated (MB),used (MB),duration (ms)
.vue 10000 nodes,1,1,100,1664.11,1432.16,51602
.vue 10000 nodes,2,1,100,1641.64,1481.36,52281
.vue 10000 nodes,3,1,100,1740.69,1537.23,53049
.vue 10000 nodes,4,1,100,1657.37,1301.73,52680
.vue 10000 nodes,5,1,100,1689.02,1568.66,53217
.vue 10000 nodes,6,1,100,1732.02,1529.93,51607
.vue 10000 nodes,7,1,100,1637.32,1548.01,42670
.vue 10000 nodes,8,1,100,1652.05,1364.74,45030
.vue 10000 nodes,9,1,100,1682.74,1489.03,45717
.vue 10000 nodes,10,1,100,1724.27,1520.73,47235
.vue 10000 nodes,11,1,100,1771.33,1566.41,46438
.vue 10000 nodes,12,1,100,1647.26,1543.36,44820
.vue 10000 nodes,13,1,100,1732.19,1549.04,44759
.vue 10000 nodes,14,1,100,1636.79,1587.34,43669
.vue 10000 nodes,15,1,100,1631.45,1348.58,44120
.vue 10000 nodes,16,1,100,1629.11,1500.75,43808
.vue 10000 nodes,17,1,100,1788.91,1589.49,43399
.vue 10000 nodes,18,1,100,1735.11,1527.71,45677
.vue 10000 nodes,19,1,100,1691.12,1333.81,45273
.vue 10000 nodes,20,1,100,1669.66,1491.49,45760
.vue 10000 nodes,21,1,100,1627.29,1339.82,43992
.vue 10000 nodes,22,1,100,1692.47,1509.67,43886
.vue 10000 nodes,23,1,100,1693.70,1448.49,45061
.vue 10000 nodes,24,1,100,1620.70,1539.40,45253
.vue 10000 nodes,25,1,100,1662.14,1450.70,45614
.vue 10000 nodes,26,1,100,1735.78,1529.54,45963
.vue 10000 nodes,27,1,100,1636.45,1404.57,44362
.vue 10000 nodes,28,1,100,1690.71,1582.07,44502
.vue 10000 nodes,29,1,100,1665.57,1421.47,43983
.vue 10000 nodes,30,1,100,1561.67,1284.53,42453
.vue 10000 nodes,31,1,100,1641.96,1319.14,46945
.vue 10000 nodes,32,1,100,1619.27,1360.59,41688
.vue 10000 nodes,33,1,100,1677.16,1437.30,45122
.vue 10000 nodes,34,1,100,1570.02,1290.63,44311
.vue 10000 nodes,35,1,100,1562.76,1260.62,48132
.vue 10000 nodes,36,1,100,1643.36,1462.25,47950
.vue 10000 nodes,37,1,100,1749.59,1544.66,50038
.vue 10000 nodes,38,1,100,1684.78,1358.40,45084
.vue 10000 nodes,39,1,100,1698.61,1406.37,49180
.vue 10000 nodes,40,1,100,1685.18,1410.17,50206
.vue 1000 nodes,1,1,1000,1770.66,1349.77,42014
.vue 1000 nodes,2,1,1000,1811.08,1287.33,39610
.vue 1000 nodes,3,1,1000,1769.65,1556.84,41614
.vue 1000 nodes,4,1,1000,1773.41,1355.82,43610
.vue 1000 nodes,5,1,1000,1814.21,1321.96,42913
.vue 1000 nodes,6,1,1000,1782.90,1396.77,41324
.vue 1000 nodes,7,1,1000,1781.27,1412.43,46380
.vue 1000 nodes,8,1,1000,1770.05,1438.51,41159
.vue 1000 nodes,9,1,1000,1765.04,1354.33,43259
.vue 1000 nodes,10,1,1000,1781.27,1413.02,44618
.vue 1000 nodes,11,1,1000,1800.16,1294.16,44282
.vue 1000 nodes,12,1,1000,1823.02,1601.40,43942
.vue 1000 nodes,13,1,1000,1664.77,1488.94,41880
.vue 1000 nodes,14,1,1000,1804.04,1278.36,42677
.vue 1000 nodes,15,1,1000,1803.04,1286.27,39967
.vue 1000 nodes,16,1,1000,1776.27,1422.37,39556
.vue 1000 nodes,17,1,1000,1772.29,1331.02,36738
.vue 1000 nodes,18,1,1000,1777.04,1364.50,37642
.vue 1000 nodes,19,1,1000,1780.02,1371.36,38175
.vue 1000 nodes,20,1,1000,1787.77,1375.58,42570
.vue 1000 nodes,21,1,1000,1781.90,1401.11,44282
.vue 1000 nodes,22,1,1000,1784.41,1301.76,42842
.vue 1000 nodes,23,1,1000,1805.04,1334.35,42990
.vue 1000 nodes,24,1,1000,1776.29,1330.24,42756
.vue 1000 nodes,25,1,1000,1779.90,1403.71,43288
.vue 1000 nodes,26,1,1000,1778.16,1354.76,41258
.vue 1000 nodes,27,1,1000,1824.41,1299.75,40284
.vue 1000 nodes,28,1,1000,1776.90,1411.02,46351
.vue 1000 nodes,29,1,1000,1785.40,1530.26,44922
.vue 1000 nodes,30,1,1000,1805.29,1304.56,51112
.vue 1000 nodes,31,1,1000,1782.16,1345.11,49871
.vue 1000 nodes,32,1,1000,1683.15,1568.22,44701
.vue 1000 nodes,33,1,1000,1813.04,1299.39,47350
.vue 1000 nodes,34,1,1000,1813.46,1280.84,48211
.vue 1000 nodes,35,1,1000,1776.02,1363.48,45865
.vue 1000 nodes,36,1,1000,1774.80,1429.43,47362
.vue 1000 nodes,37,1,1000,1799.83,1298.14,45650
.vue 1000 nodes,38,1,1000,1812.29,1268.09,46515
.vue 1000 nodes,39,1,1000,1771.41,1357.62,44980
.vue 1000 nodes,40,1,1000,1785.27,1389.18,42042
.vue 100 nodes,1,1,10000,2051.88,1791.63,108014
.vue 100 nodes,2,1,10000,2055.64,1762.62,105050
.vue 100 nodes,3,1,10000,2078.25,1845.34,108768
.vue 100 nodes,4,1,10000,2070.80,1775.36,89734
.vue 100 nodes,5,1,10000,2071.17,1781.23,93507
.vue 100 nodes,6,1,10000,2045.75,1855.53,88196
.vue 100 nodes,7,1,10000,2069.64,1757.67,94242
.vue 100 nodes,8,1,10000,2042.14,1824.29,89103
.vue 100 nodes,9,1,10000,2060.21,1779.83,93862
.vue 100 nodes,10,1,10000,2055.14,1751.22,98016
.vue 100 nodes,11,1,10000,2072.21,1754.78,96286
.vue 100 nodes,12,1,10000,2054.46,1765.01,101445
.vue 100 nodes,13,1,10000,2057.96,1779.50,105127
.vue 100 nodes,14,1,10000,2058.79,1838.76,98878
.vue 100 nodes,15,1,10000,2046.39,1823.39,96954
.vue 100 nodes,16,1,10000,2053.92,1846.20,95305
.vue 100 nodes,17,1,10000,2043.14,1815.51,97680
.vue 100 nodes,18,1,10000,2054.96,1751.77,112703
.vue 100 nodes,19,1,10000,2074.14,1800.90,105604
.vue 100 nodes,20,1,10000,2056.00,1866.82,99777
.vue 100 nodes,21,1,10000,2000.14,1737.30,109362
.vue 100 nodes,22,1,10000,2056.39,1767.02,127829
.vue 100 nodes,23,1,10000,2031.46,1757.29,104477
.vue 100 nodes,24,1,10000,2052.46,1812.95,89822
.vue 100 nodes,25,1,10000,2072.89,1735.78,100406
.vue 100 nodes,26,1,10000,2068.39,1730.82,94609
.vue 100 nodes,27,1,10000,2050.92,1851.58,102774
.vue 100 nodes,28,1,10000,2078.64,1749.27,102489
.vue 100 nodes,29,1,10000,2045.38,1814.62,113793
.vue 100 nodes,30,1,10000,2054.42,1846.98,101151
.vue 100 nodes,31,1,10000,2069.61,1783.52,89892
.vue 100 nodes,32,1,10000,2048.17,1853.07,109711
.vue 100 nodes,33,1,10000,2049.64,1809.21,96498
.vue 100 nodes,34,1,10000,2047.28,1836.95,104376
.vue 100 nodes,35,1,10000,2050.96,1728.54,101710
.vue 100 nodes,36,1,10000,2054.21,1787.66,109565
.vue 100 nodes,37,1,10000,2076.39,1765.55,106527
.vue 100 nodes,38,1,10000,2049.21,1810.90,103147
.vue 100 nodes,39,1,10000,2054.80,1770.82,99135
.vue 100 nodes,40,1,10000,2060.94,1775.24,90786
.vue 10 nodes,1,1,100,156.99,123.48,3310
.vue 10 nodes,2,1,100,160.10,126.59,3177
.vue 10 nodes,3,1,100,154.99,121.62,3003
.vue 10 nodes,4,1,100,157.85,124.47,2953
.vue 10 nodes,5,1,100,158.60,125.17,2815
.vue 10 nodes,6,1,100,157.99,124.55,2878
.vue 10 nodes,7,1,100,155.74,126.12,3269
.vue 10 nodes,8,1,100,158.10,124.59,3062
.vue 10 nodes,9,1,100,155.85,122.93,3102
.vue 10 nodes,10,1,100,155.24,121.91,3105
.vue 10 nodes,11,1,100,148.37,119.65,3246
.vue 10 nodes,12,1,100,156.60,123.18,3132
.vue 10 nodes,13,1,100,155.35,122.03,3723
.vue 10 nodes,14,1,100,156.74,123.31,4134
.vue 10 nodes,15,1,100,156.89,123.88,4907
.vue 10 nodes,16,1,100,157.60,124.26,3231
.vue 10 nodes,17,1,100,158.60,125.09,3224
.vue 10 nodes,18,1,100,156.49,123.16,4279
.vue 10 nodes,19,1,100,154.29,121.12,3003
.vue 10 nodes,20,1,100,154.24,120.90,3274
.vue 10 nodes,21,1,100,155.24,125.58,3827
.vue 10 nodes,22,1,100,155.85,122.74,3266
.vue 10 nodes,23,1,100,157.35,124.14,3066
.vue 10 nodes,24,1,100,155.89,122.71,3599
.vue 10 nodes,25,1,100,155.04,121.69,3697
.vue 10 nodes,26,1,100,157.49,124.20,3313
.vue 10 nodes,27,1,100,158.85,125.44,3133
.vue 10 nodes,28,1,100,158.85,125.38,2892
.vue 10 nodes,29,1,100,156.99,127.00,3004
.vue 10 nodes,30,1,100,155.10,122.04,3658
.vue 10 nodes,31,1,100,155.99,122.54,3516
.vue 10 nodes,32,1,100,155.89,122.43,2996
.vue 10 nodes,33,1,100,155.60,122.11,3134
.vue 10 nodes,34,1,100,156.35,122.88,3103
.vue 10 nodes,35,1,100,157.10,123.93,2868
.vue 10 nodes,36,1,100,155.85,122.25,2961
.vue 10 nodes,37,1,100,155.24,125.89,3001
.vue 10 nodes,38,1,100,155.24,122.02,2932
.vue 10 nodes,39,1,100,158.60,125.16,2943
.vue 10 nodes,40,1,100,156.24,123.10,2851
.vue 100 nodes,1,1,100,159.20,125.58,3740
.vue 100 nodes,2,1,100,183.60,150.00,3369
.vue 100 nodes,3,1,100,174.12,129.10,4351
.vue 100 nodes,4,1,100,166.60,132.93,3550
.vue 100 nodes,5,1,100,167.39,133.95,5054
.vue 100 nodes,6,1,100,176.74,143.13,7068
.vue 100 nodes,7,1,100,165.20,130.38,3997
.vue 100 nodes,8,1,100,166.99,133.37,6338
.vue 100 nodes,9,1,100,187.24,158.10,3311
.vue 100 nodes,10,1,100,176.24,142.31,3169
.vue 100 nodes,11,1,100,175.74,142.23,3043
.vue 100 nodes,12,1,100,182.10,148.82,3414
.vue 100 nodes,13,1,100,175.99,142.17,3656
.vue 100 nodes,14,1,100,172.20,138.63,3090
.vue 100 nodes,15,1,100,166.10,136.16,3246
.vue 100 nodes,16,1,100,176.74,142.80,3243
.vue 100 nodes,17,1,100,181.99,148.43,3252
.vue 100 nodes,18,1,100,177.24,143.45,3171
.vue 100 nodes,19,1,100,166.20,131.37,3681
.vue 100 nodes,20,1,100,163.20,125.74,3326
.vue 100 nodes,21,1,100,166.10,132.63,3087
.vue 100 nodes,22,1,100,184.10,150.07,3354
.vue 100 nodes,23,1,100,175.24,141.62,4095
.vue 100 nodes,24,1,100,192.74,159.04,4591
.vue 100 nodes,25,1,100,166.35,132.87,3963
.vue 100 nodes,26,1,100,175.74,141.79,6445
.vue 100 nodes,27,1,100,166.10,132.25,4557
.vue 100 nodes,28,1,100,183.60,153.44,3339
.vue 100 nodes,29,1,100,176.12,129.30,3952
.vue 100 nodes,30,1,100,162.45,128.20,4075
.vue 100 nodes,31,1,100,167.14,133.55,3253
.vue 100 nodes,32,1,100,182.49,148.68,3339
.vue 100 nodes,33,1,100,176.49,142.69,4030
.vue 100 nodes,34,1,100,165.89,132.55,3786
.vue 100 nodes,35,1,100,182.74,149.19,3625
.vue 100 nodes,36,1,100,182.35,152.49,3523
.vue 100 nodes,37,1,100,162.12,134.30,3473
.vue 100 nodes,38,1,100,158.70,118.15,3739
.vue 100 nodes,39,1,100,182.74,148.96,3397
.vue 100 nodes,40,1,100,157.45,125.56,3369
